vuosi,kuukausi,kuukausi_teksti,keskinopeus_maar,keskinopeus_kok,keskinopeus_kemi,energia,kapasiteetti
2017,10,loka,3.5801,2.7327,2.3653,433,2.044
2017,11,marras,3.475,3.2786,2.8358,593,2.044
2017,12,joulu,4.0344,3.3484,2.4683,567,2.044
2018,1,tammi,3.5234,2.6707,2.3826,497,2.041
2018,2,helmi,2.6625,2.5723,2.3,458,2.041
2018,3,maalis,3.0256,2.8214,2.5198,489,2.041
2018,4,huhti,2.9084,2.4638,2.6313,331,2.041
2018,5,touko,2.9787,3.147,3.6233,441,2.041
2018,6,kesä,3.7397,3.8775,3.5719,493,2.041
2018,7,heinä,2.8415,2.8317,2.3673,274,2.041
2018,8,elo,3.607,3.1858,3.4851,484,2.041
2018,9,syys,3.9784,3.5535,3.346,615,2.041
2018,10,loka,3.5853,3.2478,2.6367,607,2.041
2018,11,marras,3.8374,3.9322,3.7083,687,2.041
2018,12,joulu,3.6895,3.5651,2.4019,463,2.041
2019,1,tammi,3.7289,3.0528,2.004,467,2.284
2019,2,helmi,4.9142,4.1055,2.8128,656,2.284
2019,3,maalis,4.3332,4.1238,3.3189,704,2.284
2019,4,huhti,3.791,3.579,2.8436,486,2.284
2019,5,touko,3.7656,3.8633,3.1684,467,2.284
2019,6,kesä,3.8269,3.9804,3.1954,436,2.284
2019,7,heinä,3.1554,3.431,2.5226,305,2.284
2019,8,elo,3.9032,3.7656,2.7076,448,2.284
2019,9,syys,3.4614,3.0372,2.9851,438,2.284
2019,10,loka,3.2555,3.2601,2.2174,485,2.284
2019,11,marras,3.8083,2.8874,2.2363,415,2.284
2019,12,joulu,4.2341,3.7493,2.9995,720,2.284
